grp,REval,REsd,RErangeL,RErangeH
5H,-0.6116083453298602,0.29695855661148046,-0.6577068527044447,-0.5511966885154077
9M,-0.4412355704644848,0.4419072710301962,-0.4835723960320338,-0.40587729541828316
6N,-0.4917326226712259,0.43915590772354085,-0.5471968293258598,-0.43097214129652606
6S,-0.2989024908221884,0.46170810488429587,-0.3171485782859713,-0.285348788295226
4S,-0.2527414169617567,0.47261947940185073,-0.26859047301188665,-0.23546247707645163
5C,-0.22609693029577416,0.3609389488886332,-0.25845207287833155,-0.17685344784545426
9P,-0.2000733739450296,0.4419250012109808,-0.22026027107901822,-0.1779500737086412
6C,-0.20858249415597657,0.4383612797912112,-0.22369196820702994,-0.2015260107551839
6G,-0.19155475177308276,0.4490480668534428,-0.21322016082268397,-0.17498303388747197
5A,-0.16490611294113883,0.42624500850759534,-0.17934858366850348,-0.1465491287457259
5S,-0.17831487059949575,0.4833736130800338,-0.1877507680711042,-0.17070166432893086
4O,-0.15561578099690382,0.48564177371381845,-0.1671392819738639,-0.14314324392349484
7M,-0.15680956083160347,0.377773158805905,-0.18886741435328244,-0.12626042445155414
6F,-0.12536307289355003,0.45444342531584403,-0.1451758433460668,-0.11042017813630985
6A,-0.12636633622367455,0.455156131307896,-0.14267397099999315,-0.11604220783425635
7P,-0.10947868698335249,0.49045356558952763,-0.13015708364366319,-0.09004704913617274
9K,-0.1170446811966464,0.45552619081705403,-0.1555723637785615,-0.09085217126320859
9J,-0.08437899202871409,0.4297299018709039,-0.10260100599765816,-0.05917998407545622
6R,-0.0914471255097855,0.38777990973529103,-0.12695132263279824,-0.02978541859141415
4U,-0.07622968896674812,0.49768836307424663,-0.08237553061033405,-0.06981812219727564
4H,-0.06675963534755079,0.49872462626533615,-0.07683931924418315,-0.05564734207307037
5T,-0.07287422136674093,0.49803399720434555,-0.07833510853239681,-0.06477355042467144
4W,-0.06372632672391598,0.4990653046549871,-0.0717794930629562,-0.05853478100231397
7R,-0.04761577252121561,0.4678209084055751,-0.06350733840403297,-0.028259354821627378
3K,-0.060364754110369796,0.4994835508802876,-0.0660742443420411,-0.054987215572914305
4L,-0.05259778238706709,0.5005413241098107,-0.05844869441994128,-0.04901078603764141
4C,-0.05124975874664605,0.5007348877052527,-0.054446405612997316,-0.04890920280684715
6K,-0.043393262741459784,0.3141529145884273,-0.08877622655577154,0.003076787534756046
9N,-0.041964240881702725,0.5021870167253816,-0.04837941962005492,-0.0359422114512866
4G,-0.04223307232968643,0.46210083450326167,-0.05588347946542406,-0.03458562495733235
3H,-0.0017263187914121608,0.4714875698678184,-0.012993005130729002,0.011649567265059137
9T,0.038797546830682525,0.47588289436240827,0.02949763314699243,0.04993022710769884
3J,0.059200355604423605,0.48248056589316723,0.04784832955746248,0.07025835096606493
7S,0.09111880079232987,0.48461436688324433,0.08052273544321552,0.0987030379432239
6J,0.07051453103377117,0.4459989754325493,0.02454883835121108,0.10056023092863434
9X,0.10585736689700351,0.48204044059140827,0.08660406855308946,0.12560306255405376
5R,0.12055880097471089,0.4593206058149527,0.08996562745795035,0.14244136664543852
3G,0.12931545300576522,0.495050453077645,0.12280981218623292,0.1393527048422965
4K,0.13953139308389395,0.4951163934389571,0.13038270939610253,0.14831703206840272
4A,0.15521864896484233,0.4956068132378645,0.1411709491111147,0.17102988501779823
8X,0.14875017032434795,0.49534488722986,0.13610858075880536,0.16330303107390345
5F,0.16905043493895341,0.4384806554605779,0.14402355776689305,0.19165577528596364
9W,0.17575527355806433,0.46333413703497905,0.1617913023071491,0.19575382891348667
3C,0.1832408693685517,0.49753586487320467,0.17730372978221332,0.19530879478398616
8Y,0.21123249751882198,0.5009584803195734,0.2032441039600606,0.22538104912267523
4F,0.21215209961935977,0.39269385784466826,0.18515601255481115,0.2337580563147051
4P,0.30532349497341293,0.4560403097919542,0.2909145272847847,0.32582114468775086
5G,0.32706151228697544,0.42498613786916106,0.3056783364344732,0.3441561240763043
5J,0.3208059267210711,0.37879761299420994,0.2903192820373927,0.35205822641038154
9R,0.32963798658335636,0.45022451450186374,0.30439536045882204,0.3571147783715147
4R,0.343670608791954,0.48369589704096344,0.3214279028145023,0.3649119763206938
8W,0.3464360947197344,0.3832169640441472,0.30548883771655755,0.39123106276134023
8T,0.3448115327164813,0.483991703073468,0.31753310394129475,0.3606883835136829
3A,0.4521441516628055,0.42555981327563497,0.4284189482937711,0.49880364853589626
7A,0.421414005566782,0.46222401828632237,0.3831969227351382,0.46388961640163
